Heading,ParkName,RecreationVisits,NonRecreationVisits,RecreationVisitorHours,NonRecreationVisitorHours,ConcessionerLodgingOvernights,ConcessionerCampingOvernights,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,NonRecreationOvernights,MiscellaneousOvernights,GroupTotal,GroupTotalRecreationVisits,GroupTotalNonRecreationVisits,GroupTotalRecreationVisitorHours,GroupTotalNonRecreationVisitorHours,GroupTotalConcessionerLodgingOvernights,GroupTotalConcessionerCampingOvernights,GroupTotalTentOvernights,GroupTotalRecreationVehicleOvernights,GroupTotalBackcountryOvernights,GroupTotalNonRecreationOvernights,GroupTotalMiscellaneousOvernights,ReportTotalRecreationVisits,ReportTotalNonRecreationVisits,ReportTotalRecreationVisitorHours,ReportTotalNonRecreationVisitorHours,ReportTotalConcessionerLodgingOvernights,ReportTotalConcessionerCampingOvernights,ReportTotalTentOvernights,ReportTotalRecreationVehicleOvernights,ReportTotalBackcountryOvernights,ReportTotalNonRecreationOvernights,ReportTotalMiscellaneousOvernights
International Historic Site,Saint Croix Island IHS,"12,139",0,"15,173",0,0,0,0,0,0,0,0,International Historic Site Total,"12,139",0,"15,173",0,0,0,0,0,0,0,0,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield,Antietam NB,"115,619",0,"240,414",0,0,0,0,0,0,0,321,National Battlefield Total,"1,887,269","834,752","2,592,290","114,679",0,0,0,0,126,0,672,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield,Big Hole NB,"54,781",0,"74,509",0,0,0,0,0,0,0,0,National Battlefield Total,"1,887,269","834,752","2,592,290","114,679",0,0,0,0,126,0,672,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield,Cowpens NB,"212,534",0,"191,020",0,0,0,0,0,0,0,0,National Battlefield Total,"1,887,269","834,752","2,592,290","114,679",0,0,0,0,126,0,672,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield,Fort Donelson NB,"183,638","433,806","122,350","14,315",0,0,0,0,0,0,2,National Battlefield Total,"1,887,269","834,752","2,592,290","114,679",0,0,0,0,126,0,672,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield,Fort Necessity NB,"258,293",120,"354,866",48,0,0,0,0,0,0,349,National Battlefield Total,"1,887,269","834,752","2,592,290","114,679",0,0,0,0,126,0,672,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield,Monocacy NB,"127,111",90,"279,025",250,0,0,0,0,0,0,0,National Battlefield Total,"1,887,269","834,752","2,592,290","114,679",0,0,0,0,126,0,672,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield,Moores Creek NB,"53,681",0,"35,819",0,0,0,0,0,126,0,0,National Battlefield Total,"1,887,269","834,752","2,592,290","114,679",0,0,0,0,126,0,672,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield,Petersburg NB,"180,907","399,296","178,937","99,826",0,0,0,0,0,0,0,National Battlefield Total,"1,887,269","834,752","2,592,290","114,679",0,0,0,0,126,0,672,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield,Stones River NB,"417,791","1,440","549,524",240,0,0,0,0,0,0,0,National Battlefield Total,"1,887,269","834,752","2,592,290","114,679",0,0,0,0,126,0,672,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield,Wilson's Creek NB,"282,914",0,"565,826",0,0,0,0,0,0,0,0,National Battlefield Total,"1,887,269","834,752","2,592,290","114,679",0,0,0,0,126,0,672,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield Park,Kennesaw Mountain NBP,"1,322,003","25,986,620","2,054,535","4,157,860",0,0,0,0,0,0,0,National Battlefield Park Total,"2,269,852","26,135,293","3,220,741","4,194,993",0,0,0,0,0,0,0,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield Park,Manassas NBP,"532,727",480,"399,544",84,0,0,0,0,0,0,0,National Battlefield Park Total,"2,269,852","26,135,293","3,220,741","4,194,993",0,0,0,0,0,0,0,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield Park,Richmond NBP,"173,124","148,193","282,664","37,049",0,0,0,0,0,0,0,National Battlefield Park Total,"2,269,852","26,135,293","3,220,741","4,194,993",0,0,0,0,0,0,0,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Battlefield Park,River Raisin NBP,"241,998",0,"483,998",0,0,0,0,0,0,0,0,National Battlefield Park Total,"2,269,852","26,135,293","3,220,741","4,194,993",0,0,0,0,0,0,0,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
National Historic Site,Allegheny Portage Railroad NHS,"176,144",180,"286,746",48,0,0,0,0,0,0,0,National Historic Site Total,"7,171,570","297,626","8,895,257","78,282",0,0,0,0,0,0,0,"311,985,998","162,749,156","1,358,946,990","86,933,436","2,735,836","1,418,619","3,269,989","2,567,070","1,865,698","43,383","1,353,523"
