"Park Unit ","Total Recreation Visits ","Total Visitor Spending ($2022) ","Jobs ","Economic Output ($2022) "
"Abraham Lincoln Birthplace NHP ","265,707 ","$17,545,000  ","266 ","$25,544,000  "
"Acadia NP","3,970,260 ","$478,821,000  ","6,695 ","$690,712,000  "
"Adams NHP ","12,848 ","$849,000  ","11 ","$1,290,000  "
"African Burial Ground NM ","29,743 ","$1,964,000  ","21 ","$2,884,000  "
"Agate Fossil Beds NM","16,357 ","$1,378,000  ","18 ","$1,477,000  "
"Alagnak WR","184 ","$7,000  ","0 ","$8,000  "
"Alibates Flint Quarries NM ","7,520 ","$497,000  ","7 ","$638,000  "
"Allegheny Portage Railroad NHS ","176,144 ","$11,631,000  ","167 ","$17,060,000  "
"Amistad NRA ","912,283 ","$45,498,000  ","574 ","$49,145,000  "
"Andersonville NHS ","60,109 ","$3,969,000  ","61 ","$5,109,000  "
"Andrew Johnson NHS ","52,873 ","$3,491,000  ","49 ","$4,838,000  "
"Aniakchak NM&PRES ","179 ","$344,000  ","5 ","$520,000  "
"Antietam NB ","115,619 ","$7,630,000  ","95 ","$11,330,000  "
"Apostle Islands NL","254,952 ","$45,212,000  ","623 ","$56,652,000  "
"Appomattox Court House NHP ","83,483 ","$5,512,000  ","79 ","$7,307,000  "
"Arches NP","1,460,652 ","$274,172,000  ","3,558 ","$335,174,000  "
"Arkansas Post NMEM ","22,791 ","$1,505,000  ","20 ","$1,927,000  "
"Arlington House, The Robert E. Lee Memorial NMEM ","306,686 ","$20,251,000  ","249 ","$29,992,000  "
"Assateague Island NS ","2,340,269 ","$116,445,000  ","1,414 ","$138,624,000  "
"Aztec Ruins NM ","50,396 ","$3,328,000  ","44 ","$3,990,000  "
"Badlands NP ","1,006,809 ","$73,746,000  ","991 ","$95,334,000  "
"Bandelier NM ","210,941 ","$15,018,000  ","200 ","$19,649,000  "
"Belmont-Paul Women's Equality NM","0 ","$0  ","0 ","$0  "
"Bent's Old Fort NHS ","26,057 ","$1,720,000  ","23 ","$2,226,000  "
"Bering Land Bridge NPRES ","2,642 ","$4,363,000  ","61 ","$6,529,000  "
"Big Bend NP ","514,107 ","$48,061,000  ","655 ","$55,676,000  "
"Big Cypress NPRES ","2,903,159 ","$261,407,000  ","3,403 ","$387,985,000  "
"Big Hole Nb","54,781 ","$4,371,000  ","56 ","$4,845,000  "
"Big South Fork NRRA","797,726 ","$28,195,000  ","333 ","$32,603,000  "
"Big Thicket NPRES ","276,788 ","$20,113,000  ","263 ","$27,473,000  "
"Bighorn Canyon NRA ","217,660 ","$10,805,000  ","145 ","$13,194,000  "
"Biscayne NP ","701,023 ","$50,949,000  ","659 ","$74,118,000  "
"Black Canyon of the Gunnison NP ","297,257 ","$20,930,000  ","243 ","$26,108,000  "
"Blue Ridge PKWY","15,711,004 ","$1,286,018,000  ","17,824 ","$1,674,075,000  "
"Bluestone NSR","14,113 ","$705,000  ","9 ","$849,000  "
"Booker T Washington NM ","20,396 ","$1,347,000  ","20 ","$1,863,000  "
"Boston African American NHS ","390,765 ","$25,803,000  ","323 ","$39,314,000  "
"Boston Harbor Islands NRA","29,241 ","$1,460,000  ","17 ","$2,070,000  "
"Boston NHP ","2,123,246 ","$140,202,000  ","1,752 ","$213,592,000  "
"Brown V Board of Education NHS ","15,564 ","$1,028,000  ","15 ","$1,612,000  "
"Bryce Canyon NP","2,354,660 ","$218,608,000  ","3,019 ","$234,954,000  "
"Buck Island Reef NM ","45,365 ","$3,210,000  ","31 ","$4,011,000  "
