,National Park,Latitude,Longitude,Activity Amount
0,Acadia National Park,44.409286,-68.247501,46.0
1,Arches National Park,38.72261844,-109.5863666,18.0
2,Badlands National Park,43.68584846,-102.482942,21.0
3,Big Bend National Park,29.29817767,-103.2297897,25.0
4,Biscayne National Park,25.490587,-80.21023851,24.0
5,Black Canyon Of The Gunnison National Park,38.57779869,-107.7242756,13.0
6,Bryce Canyon National Park,37.58399144,-112.1826689,30.0
7,Canyonlands National Park,38.24555783,-109.8801624,22.0
8,Capitol Reef National Park,38.2821653131,-111.247048378,42.0
9,Carlsbad Caverns National Park,32.14089463,-104.5529688,17.0
10,Channel Islands National Park,33.98680093,-119.9112735,39.0
11,Congaree National Park,33.79187523,-80.74867805,26.0
12,Crater Lake National Park,42.94065854,-122.1338414,43.0
13,Cuyahoga Valley National Park,41.26093905,-81.57116722,29.0
14,Death Valley National Park,36.48753731,-117.134395,27.0
15,Denali National Park & Preserve,63.29777484,-151.0526568,34.0
16,Dry Tortugas National Park,24.628741,-82.87319,18.0
17,Everglades National Park,25.37294225,-80.88200301,46.0
18,Gates Of The Arctic National Park & Preserve,67.75961636,-153.2917758,16.0
19,Gateway Arch National Park,38.6258069,-90.1892508,15.0
20,Glacier Bay National Park & Preserve,58.80086718,-136.8407579,31.0
21,Glacier National Park,48.68414678,-113.8009306,45.0
22,Grand Canyon National Park,36.0001165336,-112.121516363,32.0
23,Grand Teton National Park,43.81853565,-110.7054666,54.0
24,Great Basin National Park,38.94617378,-114.2579782,42.0
25,Great Sand Dunes National Park & Preserve,37.79256812,-105.5919572,56.0
26,Great Smoky Mountains National Park,35.60116374,-83.50818326,36.0
27,Guadalupe Mountains National Park,31.92304462,-104.885527,20.0
28,Haleakalā National Park,20.70693015,-156.1591775,8.0
29,Hawaiʻi Volcanoes National Park,19.3355036,-155.4700257,17.0
30,Hot Springs National Park,34.52414366,-93.06332936,20.0
31,Indiana Dunes National Park,41.63765525,-87.09647445,35.0
32,Isle Royale National Park,48.01145819,-88.82780657,35.0
33,Joshua Tree National Park,33.91418525,-115.8398125,29.0
34,Katmai National Park & Preserve,58.62235668,-155.0126574,23.0
35,Kenai Fjords National Park,59.81804414,-150.106502,38.0
36,Kobuk Valley National Park,67.35631336,-159.2002293,19.0
37,Lake Clark National Park & Preserve,60.57405857,-153.55535,39.0
38,Lassen Volcanic National Park,40.49354575,-121.4075993,47.0
39,Mammoth Cave National Park,37.19760458,-86.13090198,35.0
40,Mesa Verde National Park,37.23908345,-108.4624032,20.0
41,Mount Rainier National Park,46.86075416,-121.7043885,36.0
42,National Park of American Samoa,-14.22865935,-169.8503777,21.0
43,National Parks of New York Harbor,40.6632,-74.0451,37.0
44,New River Gorge National Park & Preserve,37.86878554,-80.99956002,46.0
45,North Cascades National Park,48.71171756,-121.2069423,30.0
46,Olympic National Park,47.80392754,-123.6663848,54.0
47,Petrified Forest National Park,34.98387664,-109.7877678,37.0
48,Pinnacles National Park,36.49029208,-121.1813607,26.0
49,Rocky Mountain National Park,40.3556924,-105.6972879,19.0
50,Saguaro National Park,32.20909636,-110.7574974,12.0
51,Sequoia & Kings Canyon National Parks,36.71277299,-118.587429,39.0
52,Shenandoah National Park,38.49236644,-78.46907715,33.0
53,Theodore Roosevelt National Park,47.17777274,-103.4300083,28.0
54,Virgin Islands National Park,18.34279656,-64.74194451,31.0
55,Voyageurs National Park,48.48370609,-92.8382913,48.0
56,White Sands National Park,32.77907858,-106.3333461,11.0
57,Wind Cave National Park,43.58012365,-103.4394709,25.0
58,Wolf Trap National Park for the Performing Arts,38.93854526,-77.265089,8.0
59,Wrangell - St Elias National Park & Preserve,61.4182147,-142.6028439,46.0
60,Yellowstone National Park,44.59824417,-110.5471695,53.0
61,Yosemite National Park,37.84883288,-119.5571873,33.0
62,Zion National Park,37.29839254,-113.0265138,22.0
