ParkName,Rank,Value,PercentOfTotal
Blue Ridge PKWY,1,"15,711,004",5.04%
Golden Gate NRA,2,"15,638,911",5.01%
Great Smoky Mountains NP,3,"12,937,633",4.15%
Gateway NRA,4,"8,728,291",2.80%
Lincoln Memorial,5,"7,825,397",2.51%
George Washington MEM PKWY,6,"7,397,120",2.37%
Natchez Trace PKWY,7,"6,543,533",2.10%
Gulf Islands NS,8,"5,685,155",1.82%
Lake Mead NRA,9,"5,578,226",1.79%
Vietnam Veterans MEM,10,"4,886,254",1.57%
World War II Memorial,11,"4,815,309",1.54%
Grand Canyon NP,12,"4,732,101",1.52%
Zion NP,13,"4,692,417",1.50%
Delaware Water Gap NRA,14,"4,380,225",1.40%
Rocky Mountain NP,15,"4,300,424",1.38%
Chesapeake & Ohio Canal NHP,16,"4,286,185",1.37%
Korean War Veterans Memorial,17,"4,010,009",1.29%
Acadia NP,18,"3,970,260",1.27%
Cape Cod NS,19,"3,968,672",1.27%
Yosemite NP,20,"3,667,550",1.18%
Chattahoochee River NRA,21,"3,537,848",1.13%
Castle Clinton NM,22,"3,471,661",1.11%
"Martin Luther King, Jr. Memorial",23,"3,321,897",1.06%
Franklin Delano Roosevelt MEM,24,"3,291,313",1.05%
Yellowstone NP,25,"3,290,242",1.05%
Statue of Liberty NM,26,"3,141,213",1.01%
Joshua Tree NP,27,"3,058,294",0.98%
San Francisco Maritime NHP,28,"3,034,750",0.97%
Thomas Jefferson MEM,29,"2,975,148",0.95%
Cuyahoga Valley NP,30,"2,913,312",0.93%
Glacier NP,31,"2,908,458",0.93%
Big Cypress NPRES,32,"2,903,159",0.93%
Cape Hatteras NS,33,"2,862,844",0.92%
Glen Canyon NRA,34,"2,842,776",0.91%
Indiana Dunes NP,35,"2,834,180",0.91%
Grand Teton NP,36,"2,806,223",0.90%
Colonial NHP,37,"2,762,273",0.89%
Independence NHP,38,"2,688,302",0.86%
Hot Springs NP,39,"2,646,133",0.85%
Mount Rushmore NMEM,40,"2,440,449",0.78%
Olympic NP,41,"2,432,972",0.78%
Bryce Canyon NP,42,"2,354,660",0.75%
Assateague Island NS,43,"2,340,269",0.75%
Point Reyes NS,44,"2,336,202",0.75%
Boston NHP,45,"2,123,246",0.68%
Canaveral NS,46,"2,122,075",0.68%
Rock Creek Park,47,"2,026,156",0.65%
Valley Forge NHP,48,"1,645,298",0.53%
Mount Rainier NP,49,"1,622,395",0.52%
Gateway Arch NP,50,"1,618,774",0.52%
New River Gorge NP & PRES,51,"1,593,523",0.51%
Stonewall NM,52,"1,581,961",0.51%
Hawaii Volcanoes NP,53,"1,580,961",0.51%
Pearl Harbor NMEM,54,"1,545,582",0.50%
Whiskeytown NRA,55,"1,505,134",0.48%
Sleeping Bear Dunes NL,56,"1,501,117",0.48%
Arches NP,57,"1,460,652",0.47%
Chickasaw NRA,58,"1,455,530",0.47%
Shenandoah NP,59,"1,449,300",0.46%
Kennesaw Mountain NBP,60,"1,322,003",0.42%
Buffalo NR,61,"1,306,932",0.42%
Ozark NSR,62,"1,291,305",0.41%
Lake Meredith NRA,63,"1,276,717",0.41%
National Capital Parks East,64,"1,267,873",0.41%
San Antonio Missions NHP,65,"1,238,920",0.40%
Capitol Reef NP,66,"1,227,608",0.39%
Everglades NP,67,"1,155,193",0.37%
Sequoia NP,68,"1,153,198",0.37%
Death Valley NP,69,"1,128,862",0.36%
Lake Roosevelt NRA,70,"1,128,725",0.36%
Timucuan EHP,71,"1,102,223",0.35%
"John D. Rockefeller, Jr. MEM PKWY",72,"1,091,196",0.35%
Haleakala NP,73,"1,087,616",0.35%
San Juan NHS,74,"1,027,264",0.33%
Badlands NP,75,"1,006,809",0.32%
Ross Lake NRA,76,"998,019",0.32%
Curecanti NRA,77,"992,749",0.32%
Fort Vancouver NHS,78,"964,318",0.31%
Chickamauga & Chattanooga NMP,79,"964,272",0.31%
Minute Man NHP,80,"960,343",0.31%
Fort Point NHS,81,"955,454",0.31%
Pictured Rocks NL,82,"925,685",0.30%
National Capital Parks Central,83,"920,643",0.30%
Amistad NRA,84,"912,283",0.29%
Saguaro NP,85,"908,194",0.29%
World War I Memorial,86,"848,634",0.27%
Saint Croix NSR,87,"833,773",0.27%
Muir Woods NM,88,"798,625",0.26%
Big South Fork NRRA,89,"797,726",0.26%
Santa Monica Mountains NRA,90,"795,217",0.25%
Canyonlands NP,91,"779,147",0.25%
Mojave NPRES,92,"773,463",0.25%
Cabrillo NM,93,"768,076",0.25%
Gettysburg NMP,94,"764,576",0.25%
Dwight D. Eisenhower MEM,95,"760,603",0.24%
Fredericksburg & Spotsylvania NMP,96,"756,296",0.24%
Cumberland Gap NHP,97,"732,916",0.23%
Little River Canyon NPRES,98,"726,239",0.23%
President's Park,99,"714,224",0.23%
White Sands NP,100,"705,127",0.23%
Biscayne NP,101,"701,023",0.22%
San Juan Island NHP,102,"700,325",0.22%
Fort Matanzas NM,103,"698,895",0.22%
Cedar Breaks NM,104,"688,644",0.22%
Theodore Roosevelt NP,105,"668,679",0.21%
Mammoth Cave NP,106,"663,147",0.21%
Kings Canyon NP,107,"640,986",0.21%
Castillo de San Marcos NM,108,"624,841",0.20%
Wind Cave NP,109,"607,418",0.19%
Glacier Bay NP & PRES,110,"545,758",0.17%
Cape Lookout NS,111,"541,533",0.17%
Manassas NBP,112,"532,727",0.17%
Padre Island NS,113,"531,624",0.17%
Crater Lake NP,114,"527,259",0.17%
Big Bend NP,115,"514,107",0.16%
Petrified Forest NP,116,"505,209",0.16%
Mesa Verde NP,117,"499,790",0.16%
Great Sand Dunes NP & PRES,118,"493,428",0.16%
Devils Tower NM,119,"480,713",0.15%
Colorado NM,120,"480,442",0.15%
Fort Pulaski NM,121,"471,077",0.15%
Redwood NP,122,"458,400",0.15%
Catoctin Mountain Park,123,"450,322",0.14%
Lassen Volcanic NP,124,"446,291",0.14%
Wolf Trap NP for the Performing Arts,125,"445,497",0.14%
Wright Brothers NMEM,126,"437,391",0.14%
Denali NP & PRES,127,"427,562",0.14%
Stones River NB,128,"417,791",0.13%
Vicksburg NMP,129,"410,487",0.13%
Harpers Ferry NHP,130,"407,008",0.13%
Fort Washington Park,131,"406,917",0.13%
Fire Island NS,132,"393,749",0.13%
Salem Maritime NHS,133,"392,836",0.13%
Carlsbad Caverns NP,134,"390,932",0.13%
Boston African American NHS,135,"390,765",0.13%
Kenai Fjords NP,136,"389,943",0.12%
Guilford Courthouse NMP,137,"389,057",0.12%
Shiloh NMP,138,"387,205",0.12%
Fort Sumter and Fort Moultrie NHP,139,"385,472",0.12%
War in the Pacific NHP,140,"380,578",0.12%
Montezuma Castle NM,141,"364,014",0.12%
Canyon de Chelly NM,142,"354,972",0.11%
Dinosaur NM,143,"351,019",0.11%
Flight 93 NMEM,144,"346,559",0.11%
Nez Perce NHP,145,"344,517",0.11%
Klondike Gold Rush NHP Alaska,146,"342,909",0.11%
Petroglyph NM,147,"339,394",0.11%
Fort Caroline NMEM,148,"329,363",0.11%
Vanderbilt Mansion NHS,149,"326,012",0.10%
Channel Islands NP,150,"323,245",0.10%
Ford's Theatre NHS,151,"319,596",0.10%
Pu'uhonua o Honaunau NHP,152,"311,441",0.10%
Arlington House The R.E. Lee MEM,153,"306,686",0.10%
Obed W&SR,154,"306,502",0.10%
Mississippi NRRA,155,"303,882",0.10%
Black Canyon of the Gunnison NP,156,"297,257",0.10%
Prince William Forest Park,157,"294,916",0.09%
Kaloko Honokohau NHP,158,"291,342",0.09%
Fort Raleigh NHS,159,"287,650",0.09%
Wilson's Creek NB,160,"282,914",0.09%
Lewis & Clark NHP,161,"279,924",0.09%
Big Thicket NPRES,162,"276,788",0.09%
Pinnacles NP,163,"275,023",0.09%
