Park,ParkCode,RecreationalVisits,NonRecreationalVisits,TotalVisits,RecreationVisitorHours,NonRecreationVisitorHours,VisitorDays,ConcessionerLodging,ConcessionerCamping,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,MiscellaneousOvernights,NonRecreationOvernights,TotalRecreationVisits,TotalNonRecreationVisits,SumOfTotalVisits,TotalRecreationVisitorHours,TotalNonRecreationVisitorHours,TotalVisitorDays,TotalConcessionerLodging,TotalConcessionerCamping,TotalTentOvernights,TotalRecreationVehicleOvernights,TotalBackcountryOvernights,TotalMiscellaneousOvernights,TotalNonRecreationOvernights
Abraham Lincoln Birthplace NHP,ABLI,"267,081",0,"267,081","267,081",0,"22,256",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Acadia NP,ACAD,"4,008,527","47,100","4,055,627","26,861,171","47,100","2,238,430",0,"1,630","135,452","49,534","1,514","8,822",0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Adams NHP,ADAM,"16,971",74,"17,045","16,584",37,"1,381",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
African Burial Ground NM,AFBG,"23,611",0,"23,611","13,890",0,"1,157",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Agate Fossil Beds NM,AGFO,"16,972",0,"16,972","47,594",0,"3,966",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Alagnak Wild River,ALAG,184,68,252,"12,528","5,529","1,044",0,0,0,0,562,0,253,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Alibates Flint Quarries NM,ALFL,"7,997",0,"7,997","19,993",0,"1,666",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Allegheny Portage Railroad NHS,ALPO,"182,177",180,"182,357","291,876",48,"24,322",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Amistad NRA,AMIS,"1,082,153",342,"1,082,495","7,995,696","13,482","666,308",0,0,0,"8,140",0,450,795,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Andersonville NHS,ANDE,"54,239",0,"54,239","108,478",0,"9,039",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Andrew Johnson NHS,ANJO,"54,407",0,"54,407","26,391",0,"2,199",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Aniakchak NM & PRES,ANIA,190,96,286,"11,090","14,752",924,0,0,0,0,488,0,704,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Antietam NB,ANTI,"119,849",0,"119,849","248,218",0,"20,684",0,0,0,0,0,284,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Apostle Islands NL,APIS,"257,064",0,"257,064","849,796",0,"70,816",0,0,0,0,"13,441","3,420",0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Appomattox Court House NHP,APCO,"85,413",0,"85,413","124,051",0,"10,337",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Arches NP,ARCH,"1,509,726",0,"1,509,726","5,559,767",0,"463,313",0,0,"14,506","20,089",322,"8,024",0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Arkansas Post NMEM,ARPO,"24,049",0,"24,049","36,071",0,"3,005",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Arlington House The R.E. Lee MEM,ARHO,"252,040",0,"252,040","126,019",0,"10,501",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Assateague Island NS,ASIS,"2,408,246","3,600","2,411,846","20,502,933","3,600","1,708,577",0,0,"38,117","26,814","1,103","8,255",0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Aztec Ruins NM,AZRU,"54,152","1,813","55,965","81,228","1,813","6,769",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Badlands NP,BADL,"1,018,186","55,984","1,074,170","4,349,200","27,992","362,433","10,492","15,416","2,790",581,"2,244",0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Bandelier NM,BAND,"235,269",840,"236,109","963,543",216,"80,295",0,0,"2,726","6,631",431,"4,753",0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Belmont-Paul Women's Equality NM,BEPA,0,0,0,0,0,0,0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Bent's Old Fort NHS,BEOL,"24,913",0,"24,913","43,596",0,"3,633",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Bering Land Bridge NPRES,BELA,"2,642","1,126","3,768","34,878","20,624","2,906",0,0,0,0,"1,123",0,484,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Big Bend NP,BIBE,"525,975","2,616","528,591","9,678,839","7,848","806,569","18,883","3,459","29,580","18,362","48,723","21,290",0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Big Cypress NPRES,BICY,"2,998,329",0,"2,998,329","6,234,904",0,"519,575",0,0,"8,047","21,425",702,"1,359",0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Big Hole NB,BIHO,"49,895",0,"49,895","65,103",0,"5,425",0,0,0,0,0,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Big South Fork NRRA,BISO,"817,463",0,"817,463","5,923,053",0,"493,587","1,691",0,"14,844","41,450","9,318","2,923",0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Big Thicket NPRES,BITH,"280,084",0,"280,084","823,711",0,"68,642",0,0,0,0,"1,318",0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Bighorn Canyon NRA,BICA,"220,558","6,900","227,458","935,126","3,447","77,927",0,0,"2,006","8,684",401,0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Biscayne NP,BISC,"702,763",0,"702,763","2,202,930",0,"183,577",0,0,"2,759",0,0,"1,184",0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
Black Canyon of the Gunnison NP,BLCA,"284,379",0,"284,379","1,677,927",0,"139,827",0,0,"14,844","13,561","1,727",0,0,"311,155,177","162,681,380","473,836,557","1,361,751,590","87,386,159","113,479,299","2,695,587","1,442,416","3,288,578","2,577,073","1,872,746","1,360,196","43,239"
