Title1
Yosemite NP

Field1,Field2,Field3,Field4,RecreationHours,NonRecreationHours,Field5,Field6,Field7,Field8,Field9,Field10,NonRecreationOvernightStays,TotalOvernightStays,Field11,Field12,Field13,Textbox21,Textbox29,Field14,Field15,Field16,Field17,Field18,Field19,Textbox5,Field20,Field21,Field22,Textbox24,Textbox32,Field23,Field24,Field25,Field26,Field27,Field28,Textbox7,Field29
1979,January,"72,701","3,053","2,098,509","87,519","30,515",442,405,0,914,0,0,"32,276",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,February,"72,926","3,030","2,098,838","86,785","37,744",500,971,0,"1,112",0,0,"40,327",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,March,"87,950","3,751","2,511,342","105,268","46,752",731,"1,010",0,"1,549",0,0,"50,042",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,April,"136,275","5,477","3,897,346","152,005","57,796","7,446","2,758",0,"2,778",0,0,"70,778",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,May,"210,756","7,765","5,805,477","204,231","82,611","40,206","34,947",0,"11,652",0,0,"169,416",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,June,"301,727","13,422","8,023,081","352,586","127,083","31,593","13,577",0,"12,173",0,0,"184,426",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,July,"379,640","13,713","9,996,082","340,234","125,060","54,306","78,588",0,"11,031",0,0,"268,985",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,August,"427,454","15,289","11,202,755","374,494","125,713","59,960","83,030",0,"18,407",0,0,"287,110",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,September,"293,424","10,755","7,654,279","265,237","110,304","24,058","13,554",0,"8,510",0,0,"156,426",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,October,"193,825","7,140","5,213,465","181,843","58,918","44,133","28,170",0,"1,635",0,0,"132,856",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,November,"99,485","4,020","2,855,355","110,570","44,211","12,900","9,880",0,"1,053",0,0,"68,044",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1979,December,"74,619","3,188","2,153,540","89,315","34,635","5,800","6,484",0,"2,087",0,0,"49,006",1979 Totals,"2,350,782","90,603","63,510,069","2,350,087","881,342","282,075","273,374",0,"72,901",0,0,"1,509,692","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1980,January,"66,677","2,806","1,940,736","79,613","33,683","4,320","6,372",0,845,0,0,"45,220",1980 Totals,"2,490,282","92,872","67,031,089","2,354,426","890,048","625,208","380,094",0,"139,288",0,0,"2,034,638","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1980,February,"75,612","3,172","2,191,439","81,964","41,053","3,360","2,920",0,"1,425",0,0,"48,758",1980 Totals,"2,490,282","92,872","67,031,089","2,354,426","890,048","625,208","380,094",0,"139,288",0,0,"2,034,638","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1980,March,"99,896","4,024","2,874,602","111,676","54,477","5,695","3,747",0,"2,087",0,0,"66,006",1980 Totals,"2,490,282","92,872","67,031,089","2,354,426","890,048","625,208","380,094",0,"139,288",0,0,"2,034,638","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1980,April,"120,970","4,732","3,447,585","128,020","58,546","19,077","17,249",0,"1,576",0,0,"96,448",1980 Totals,"2,490,282","92,872","67,031,089","2,354,426","890,048","625,208","380,094",0,"139,288",0,0,"2,034,638","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1980,May,"212,971","8,048","6,057,747","213,217","88,021","57,855","46,252",0,"7,564",0,0,"199,692",1980 Totals,"2,490,282","92,872","67,031,089","2,354,426","890,048","625,208","380,094",0,"139,288",0,0,"2,034,638","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1980,June,"309,470","11,530","8,263,863","288,782","117,373","66,708","48,820",0,"17,100",0,0,"250,001",1980 Totals,"2,490,282","92,872","67,031,089","2,354,426","890,048","625,208","380,094",0,"139,288",0,0,"2,034,638","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1980,July,"416,583","15,110","10,925,443","371,648","123,289","135,668","86,568",0,"33,862",0,0,"379,387",1980 Totals,"2,490,282","92,872","67,031,089","2,354,426","890,048","625,208","380,094",0,"139,288",0,0,"2,034,638","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1980,August,"470,491","16,928","12,226,603","412,761","141,107","159,536","63,128",0,"48,801",0,0,"412,572",1980 Totals,"2,490,282","92,872","67,031,089","2,354,426","890,048","625,208","380,094",0,"139,288",0,0,"2,034,638","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
1980,September,"289,108","10,834","7,566,884","264,778","90,584","106,296","55,508",0,"17,333",0,0,"269,721",1980 Totals,"2,490,282","92,872","67,031,089","2,354,426","890,048","625,208","380,094",0,"139,288",0,0,"2,034,638","151,811,947","5,622,098","3,066,135,089","143,582,950","37,601,934","22,793,748","12,053,190",0,"5,447,593","953,134",0,"78,849,599"
